date,code,name,market,total_shares,foreign_shares,foreign_ratio
2025-10-07,0000,,TWSE,0,0,0.0
2025-10-07,0002,,TWSE,0,0,0.0
2025-10-07,0003,,TWSE,0,0,0.0
2025-10-07,0004,,TWSE,0,0,0.0
2025-10-07,0005,,TWSE,0,0,0.0
2025-10-07,0050,元大台灣50,TWSE,12753500000,547139926,4.29
2025-10-07,0051,元大中型100,TWSE,23000000,140543,0.61
2025-10-07,0052,富邦科技,TWSE,65000000,1470036,2.26
2025-10-07,0053,元大電子,TWSE,4988000,66134,1.32
2025-10-07,0055,元大MSCI金融,TWSE,76154000,635786,0.83
2025-10-07,0056,元大高股息,TWSE,13664534000,97343690,0.71
2025-10-07,0057,富邦摩台,TWSE,1527000,64147,4.2
2025-10-07,0061,元大寶滬深,TWSE,131116000,7589000,5.78
2025-10-07,00625K,富邦上証+R,TWSE,333000,0,0.0
2025-10-07,00631L,元大台灣50正2,TWSE,97084000,7281022,7.49
2025-10-07,00632R,元大台灣50反1,TWSE,1957707730,184679610,9.43
2025-10-07,00633L,富邦上証正2,TWSE,215958000,9079000,4.2
2025-10-07,00634R,富邦上証反1,TWSE,47256000,3527000,7.46
2025-10-07,00635U,期元大S&P黃金,TWSE,113514000,2473103,2.17
2025-10-07,00636,國泰中國A50,TWSE,177825000,4060430,2.28
2025-10-07,00636K,國泰中國A50+U,TWSE,62100,0,0.0
2025-10-07,00637L,元大滬深300正2,TWSE,1395106000,46260000,3.31
2025-10-07,00638R,元大滬深300反1,TWSE,51448000,1219000,2.36
2025-10-07,00639,富邦深100,TWSE,166403000,5501003,3.3
2025-10-07,00640L,富邦日本正2,TWSE,10919000,91000,0.83
2025-10-07,00641R,富邦日本反1,TWSE,65258000,0,0.0
2025-10-07,00642U,期元大S&P石油,TWSE,176321000,1061769,0.6
2025-10-07,00643,群益深証中小,TWSE,121573000,15586500,12.82
2025-10-07,00643K,群益深証中小+R,TWSE,127000,0,0.0
2025-10-07,00645,富邦日本,TWSE,49497000,345540,0.69
2025-10-07,00646,元大S&P500,TWSE,505985000,14599206,2.88
2025-10-07,00647L,元大S&P500正2,TWSE,7416000,227000,3.06
2025-10-07,00648R,元大S&P500反1,TWSE,178688000,1374000,0.76
2025-10-07,00650L,復華香港正2,TWSE,135838000,1601000,1.17
2025-10-07,00651R,復華香港反1,TWSE,40192000,670000,1.66
2025-10-07,00652,富邦印度,TWSE,105535000,217376,0.2
2025-10-07,00653L,富邦印度正2,TWSE,18903000,195000,1.03
2025-10-07,00654R,富邦印度反1,TWSE,18966000,2000,0.01
2025-10-07,00655L,國泰中國A50正2,TWSE,113458000,2140290,1.88
2025-10-07,00656R,國泰中國A50反1,TWSE,20857000,1896000,9.09
2025-10-07,00657,國泰日經225,TWSE,6584000,360737,5.47
2025-10-07,00657K,國泰日經225+U,TWSE,2900,0,0.0
