date,code,name,foreign_net,trust_net,dealer_net,market
2025-09-11,00865B,國泰US短期公債,0,0,0,TWSE
2025-09-11,00875,國泰網路資安,16000,0,0,TWSE
2025-09-11,00876,元大全球5G,402000,0,0,TWSE
2025-09-11,00878,國泰永續高股息,18392613,0,0,TWSE
2025-09-11,00881,國泰台灣科技龍頭,955449,0,0,TWSE
2025-09-11,00882,中信中國高股息,5810000,0,0,TWSE
2025-09-11,00885,富邦越南,5456500,0,0,TWSE
2025-09-11,00891,中信關鍵半導體,1748055,0,0,TWSE
2025-09-11,00892,富邦台灣半導體,219000,0,0,TWSE
2025-09-11,00893,國泰智能電動車,48341,0,0,TWSE
2025-09-11,00894,中信小資高價30,48000,0,0,TWSE
2025-09-11,00895,富邦未來車,376520,0,0,TWSE
2025-09-11,00896,中信綠能及電動車,72000,0,0,TWSE
2025-09-11,00897,富邦基因免疫生技,46000,0,0,TWSE
2025-09-11,00898,國泰基因免疫革命,93000,0,0,TWSE
2025-09-11,00899,FT潔淨能源,0,0,0,TWSE
2025-09-11,00900,富邦特選高股息30,350600,0,0,TWSE
2025-09-11,00901,永豐智能車供應鏈,14000,0,0,TWSE
2025-09-11,00902,中信電池及儲能,92000,0,0,TWSE
2025-09-11,00903,富邦元宇宙,514000,0,0,TWSE
2025-09-11,00904,新光臺灣半導體30,0,0,0,TWSE
2025-09-11,00905,FT臺灣Smart,55937,0,0,TWSE
2025-09-11,00907,永豐優息存股,3000,0,0,TWSE
2025-09-11,00908,富邦入息REITs+,25000,0,0,TWSE
2025-09-11,00909,國泰數位支付服務,350534,0,0,TWSE
2025-09-11,00910,第一金太空衛星,807,0,0,TWSE
2025-09-11,00911,兆豐洲際半導體,0,0,0,TWSE
2025-09-11,00912,中信臺灣智慧50,65030,0,0,TWSE
2025-09-11,00913,兆豐台灣晶圓製造,40000,0,0,TWSE
2025-09-11,00915,凱基優選高股息30,18081,0,0,TWSE
2025-09-11,00916,國泰全球品牌50,3500,0,0,TWSE
2025-09-11,00917,中信特選金融,63000,0,0,TWSE
2025-09-11,00918,大華優利高填息30,96200,0,0,TWSE
2025-09-11,00919,群益台灣精選高息,15313700,0,0,TWSE
2025-09-11,00920,富邦ESG綠色電力,87000,0,0,TWSE
